"영화명","개봉일","매출액","누적매출액","관객수","누적관객수","스크린수","상영횟수","제작사","배급사","등급","장르","감독","배우"
"여친의 맛",2019-06-21,1000,1000,1,1,1,1,"(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","청소년관람불가","드라마","이호근",""
"여친의 맛 무삭제",2019-09-04,1000,1000,1,1,1,1,"(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","청소년관람불가","드라마","윤중부",""
"여친의 속사정",2019-06-07,1000,1000,1,1,1,1,"(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","청소년관람불가","드라마","윤중부",""
"여친의 속사정 무삭제",2019-08-28,1000,1000,1,1,1,1,"(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","청소년관람불가","드라마","윤중부",""
"연변 아가씨의 맛섹사-무삭제판",2018-03-14,1000,1000,1,1,1,1,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민",""
"연상녀들 : 내가 가르쳐 줄게 무삭제",2018-02-23,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이리단",""
"연애 : 엄마친구 무삭제",2018-11-27,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","유해종","이은미,박주빈"
"연애사슬",2018-02-28,2000,2000,1,1,1,1,"(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","청소년관람불가","","최석원","백슬비,채린"
"옆집 친구 엄마",2019-08-06,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","김진수",""
"옆집 친구 엄마 무삭제",2019-10-10,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","김진수",""
"옆집누나의맛",2019-12-27,5000,5000,1,1,1,1,"에이원 미디어","에이원 미디어","청소년관람불가","멜로/로맨스","천성준",""
"옆집소녀2-무삭제",2018-12-14,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","성기만",""
"옆집소녀3-무삭제",2019-11-08,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","",""
"예쁜 며느리",2019-05-03,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","이정",""
"예쁜 처제들 2018",2018-09-18,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"예쁜 처제들 2018 (감독판)",2018-11-09,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"예쁜누나(감독판)",2019-04-11,6000,6000,1,1,1,1,"(주)마이애미미디어","(주)마이애미미디어","청소년관람불가","멜로/로맨스","준세","도모세"
"오르가즘 레스토랑",2018-10-30,2000,2000,1,1,1,1,"(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","청소년관람불가","","제임스 김","김지오,김지현,이민우,이재훈"
"오르가즘 레스토랑 무삭제판",2019-01-31,2000,2000,1,1,1,1,"(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","청소년관람불가","","제임스 김",""
"오피스텔-잘 하는 애들로 무삭제판",2019-09-26,5000,5000,1,1,1,1,"(주)케이피에이기획","(주)케이피에이기획","청소년관람불가","멜로/로맨스","천성준",""
"완벽한 섹스의 맛-무삭제판",2018-05-08,1000,1000,1,1,1,1,"(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민",""
"왕을 참하라 무삭제판",2018-03-21,5000,5000,1,1,1,1,"(주)영화사 조은","(주)영화사 조은","청소년관람불가","드라마","김재수","강연정,강윤,추석영,김학철,이영범"
"외도에 빠진 아내",2019-02-18,2000,2000,1,1,1,1,"(주)레드언더미디어","(주)레드언더미디어","청소년관람불가","기타","박은석",""
"외출 2 무삭제",2018-03-20,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","곽영근",""
"우리 누나 친구",2019-10-21,2000,2000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","김부곤","안소희"
"우리도련님 무삭제",2019-06-25,5000,5000,1,1,1,1,"(주)영화사히트","(주)영화사히트","청소년관람불가","멜로/로맨스","김대성",""
"위기의 엄마들",2019-08-05,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스,드라마","이재훈",""
"유부녀들의 맛 무삭제판",2018-11-13,5000,5000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","유해종",""
"은밀한 관계",2019-07-26,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","김이슬",""
"은밀한 여작가의 사생활 무삭제판",2019-09-03,5000,5000,1,1,1,1,"(주)라온컴퍼니플러스","(주)라온컴퍼니플러스","청소년관람불가","멜로/로맨스,드라마","한동호",""
"음란 과외 2 - 무삭제판",2019-08-28,1000,1000,1,1,1,1,"(주)컨텐츠 빌리지","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","최우성",""
"음란한 그녀의 색스런 이야기",2019-12-27,1000,1000,1,1,1,1,"(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","청소년관람불가","드라마","박은석",""
"음란한 병원 무삭제판",2019-08-14,5000,5000,1,1,1,1,"(주)가온콘텐츠","(주)가온콘텐츠","청소년관람불가","드라마,멜로/로맨스","한동호",""
"음란한 여자들의 수다",2019-08-05,6000,6000,1,1,1,1,"(주)메이크아트","(주)메이크아트","청소년관람불가","성인물(에로),멜로/로맨스","이지은",""
"이모의 유혹-무삭제",2018-04-06,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","김경택",""
"이모의유혹2-무삭제",2019-09-06,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","김이슬",""
"이웃집 아내 무삭제판",2019-07-30,1000,1000,1,1,1,1,"(주)가온콘텐츠","(주)가온콘텐츠","청소년관람불가","드라마,멜로/로맨스","한동호",""
"일본 엄마 2 무삭제",2018-03-20,6000,6000,1,1,1,1,"(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","김무원",""
"일본식 아내 길들이기",2019-07-19,1000,1000,1,1,1,1,"유한회사 영화사 반딧불","유한회사 영화사 반딧불","청소년관람불가","성인물(에로)","김영민",""
"자매의교환섹스-무삭제",2019-04-05,5000,5000,1,1,1,1,"에이원 미디어","에이원 미디어","청소년관람불가","멜로/로맨스","장두만",""
"자매의은밀한스와핑",2018-12-21,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","정민용",""
"작은 엄마 2: 삼촌의 여자들 (무삭제)",2018-03-09,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
